itemsName,itemsQuantity,itemsPrice,storeLocation,customerGender,customerAge,customerEmail,customerSatisfaction,saleDate,purchaseMethod,couponUsed
printer paper,2,40.01,Denver,M,42,cauho@witwuta.sv,4,2015-03-23T21:06:49.506Z,Online,True
notepad,2,35.29,Denver,M,42,cauho@witwuta.sv,4,2015-03-23T21:06:49.506Z,Online,True
pens,5,56.12,Denver,M,42,cauho@witwuta.sv,4,2015-03-23T21:06:49.506Z,Online,True
backpack,2,77.71,Denver,M,42,cauho@witwuta.sv,4,2015-03-23T21:06:49.506Z,Online,True
notepad,2,18.47,Denver,M,42,cauho@witwuta.sv,4,2015-03-23T21:06:49.506Z,Online,True
envelopes,8,19.95,Denver,M,42,cauho@witwuta.sv,4,2015-03-23T21:06:49.506Z,Online,True
envelopes,3,8.08,Denver,M,42,cauho@witwuta.sv,4,2015-03-23T21:06:49.506Z,Online,True
binder,3,14.16,Denver,M,42,cauho@witwuta.sv,4,2015-03-23T21:06:49.506Z,Online,True
envelopes,10,8.05,Seattle,M,50,keecade@hem.uy,5,2015-08-25T10:01:02.918Z,Phone,False
binder,9,28.31,Seattle,M,50,keecade@hem.uy,5,2015-08-25T10:01:02.918Z,Phone,False
notepad,3,20.95,Seattle,M,50,keecade@hem.uy,5,2015-08-25T10:01:02.918Z,Phone,False
laptop,4,866.5,Seattle,M,50,keecade@hem.uy,5,2015-08-25T10:01:02.918Z,Phone,False
notepad,4,33.09,Seattle,M,50,keecade@hem.uy,5,2015-08-25T10:01:02.918Z,Phone,False
printer paper,1,37.55,Seattle,M,50,keecade@hem.uy,5,2015-08-25T10:01:02.918Z,Phone,False
backpack,2,83.28,Seattle,M,50,keecade@hem.uy,5,2015-08-25T10:01:02.918Z,Phone,False
pens,4,42.9,Seattle,M,50,keecade@hem.uy,5,2015-08-25T10:01:02.918Z,Phone,False
envelopes,2,16.68,Seattle,M,50,keecade@hem.uy,5,2015-08-25T10:01:02.918Z,Phone,False
notepad,1,30.08,Denver,M,51,worbiduh@vowbu.cg,5,2017-06-22T09:54:14.185Z,In store,False
binder,7,24.68,Denver,M,51,worbiduh@vowbu.cg,5,2017-06-22T09:54:14.185Z,In store,False
notepad,4,32.1,Denver,M,51,worbiduh@vowbu.cg,5,2017-06-22T09:54:14.185Z,In store,False
pens,3,31.41,Denver,M,51,worbiduh@vowbu.cg,5,2017-06-22T09:54:14.185Z,In store,False
printer paper,3,43.56,Denver,M,51,worbiduh@vowbu.cg,5,2017-06-22T09:54:14.185Z,In store,False
pens,4,68.95,Denver,M,51,worbiduh@vowbu.cg,5,2017-06-22T09:54:14.185Z,In store,False
notepad,4,8.57,Denver,M,51,worbiduh@vowbu.cg,5,2017-06-22T09:54:14.185Z,In store,False
backpack,2,106.6,Denver,M,51,worbiduh@vowbu.cg,5,2017-06-22T09:54:14.185Z,In store,False
laptop,4,596.33,Denver,M,51,worbiduh@vowbu.cg,5,2017-06-22T09:54:14.185Z,In store,False
binder,1,20.08,Seattle,F,45,vatires@ta.pe,3,2015-02-23T09:53:59.343Z,In store,False
pens,4,23.08,Seattle,F,45,vatires@ta.pe,3,2015-02-23T09:53:59.343Z,In store,False
backpack,2,82.73,Seattle,F,45,vatires@ta.pe,3,2015-02-23T09:53:59.343Z,In store,False
printer paper,3,15.98,Seattle,F,45,vatires@ta.pe,3,2015-02-23T09:53:59.343Z,In store,False
notepad,4,27.24,Seattle,F,45,vatires@ta.pe,3,2015-02-23T09:53:59.343Z,In store,False
notepad,5,27.7,Seattle,F,45,vatires@ta.pe,3,2015-02-23T09:53:59.343Z,In store,False
pens,5,59.86,Seattle,F,45,vatires@ta.pe,3,2015-02-23T09:53:59.343Z,In store,False
binder,9,27.33,Seattle,F,45,vatires@ta.pe,3,2015-02-23T09:53:59.343Z,In store,False
notepad,1,13.59,Seattle,F,45,vatires@ta.pe,3,2015-02-23T09:53:59.343Z,In store,False
backpack,3,127.59,London,M,40,dotzu@ib.sh,4,2017-12-03T18:39:48.253Z,In store,False
notepad,4,17.6,London,M,40,dotzu@ib.sh,4,2017-12-03T18:39:48.253Z,In store,False
binder,2,18.67,London,M,40,dotzu@ib.sh,4,2017-12-03T18:39:48.253Z,In store,False
pens,3,60.56,London,M,40,dotzu@ib.sh,4,2017-12-03T18:39:48.253Z,In store,False
notepad,1,28.41,London,M,40,dotzu@ib.sh,4,2017-12-03T18:39:48.253Z,In store,False
envelopes,7,15.28,London,M,40,dotzu@ib.sh,4,2017-12-03T18:39:48.253Z,In store,False
laptop,3,1259.02,London,M,40,dotzu@ib.sh,4,2017-12-03T18:39:48.253Z,In store,False
binder,8,13.44,London,M,44,owtar@pu.cd,2,2015-09-02T16:11:59.565Z,In store,False
binder,10,16.66,London,M,44,owtar@pu.cd,2,2015-09-02T16:11:59.565Z,In store,False
laptop,4,604.12,London,F,40,pan@cak.zm,5,2014-11-11T02:13:51.893Z,In store,False
